IDX	LABEL	PC	UI	CLKTA CS0 CS1 CA WCKT	RDQS	DMI0	DMI1	DATA_e	DATA_o 
000001          -      1  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000001          -      1  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000001          -      1  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000001          -      1  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000001          -      1  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000001          -      1  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000001          -      1  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000001          -      1  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000001          -      1  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000001          -      1  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000001          -      1 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000001          -      1 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000001          -      1 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000001          -      1 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000001          -      1 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000001          -      1 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000002          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000002          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000002          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000002          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000002          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000002          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000002          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000002          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000002          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000002          -      2  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000002          -      2 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000002          -      2 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000002          -      2 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000002          -      2 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000002          -      2 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000002          -      2 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000003          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000003          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000003          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000003          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000003          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000003          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000003          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000003          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000003          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000003          -      2  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000003          -      2 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000003          -      2 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000003          -      2 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000003          -      2 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000003          -      2 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000003          -      2 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000004          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000004          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000004          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000004          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000004          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000004          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000004          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000004          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000004          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000004          -      2  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000004          -      2 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000004          -      2 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000004          -      2 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000004          -      2 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000004          -      2 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000004          -      2 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000005          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000005          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000005          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000005          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000005          -      2  4 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000005          -      2  5 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000005          -      2  6 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000005          -      2  7 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000005          -      2  8 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000005          -      2  9 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000005          -      2 10 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000005          -      2 11 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000005          -      2 12 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000005          -      2 13 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000005          -      2 14 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000005          -      2 15 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000006          -      2  0 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000006          -      2  1 0 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000006          -      2  2 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
000006          -      2  3 1 0 0 0000000_ 00_ 00_ 00_ 00_ 0x0000 0x0000 
